,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms
2017-08-29 18:49:59.500,0.003965,0.34,1.74888093574,0.748400743542,0.000554
2017-08-29 18:50:49.900,0.003719,0.34,1.73515207509,0.703750065542,0.000554
2017-08-29 18:51:40.300,0.003891,0.34,1.97419629724,0.827666457193,0.000554
2017-08-29 18:52:30.700,0.003731,0.34,1.94762732929,0.748778863302,0.000554
2017-08-29 18:53:21.100,0.004041,0.34,1.84733388949,0.77488957558,0.000554
2017-08-29 18:54:11.500,0.003762,0.34,1.73072530491,0.70621995757,0.000554
2017-08-29 18:55:01.900,0.003971,0.34,1.88608567234,0.782496353762,0.000554
2017-08-29 18:55:52.300,0.00393,0.34,1.88924178416,0.73036754033,0.000554
2017-08-29 18:56:42.700,0.004138,0.34,1.53994130213,0.674797973796,0.000554
2017-08-29 18:57:33.100,0.003659,0.34,1.99461681484,0.832183267122,0.000554
2017-08-29 18:58:23.500,0.003908,0.34,2.16929503248,0.931474797773,0.000554
2017-08-29 18:59:13.900,0.003585,0.34,1.78544669417,0.76577737129,0.000554
2017-08-29 19:00:04.300,0.003874,0.34,2.62631421208,1.53677258024,0.000554
2017-08-29 19:00:54.700,0.004064,0.34,1.851129383,0.740647502701,0.000554
2017-08-29 19:01:45.100,0.003558,0.34,1.89754776275,0.815733336224,0.000554
2017-08-29 19:02:35.500,0.003739,0.34,2.81604854408,1.29961061081,0.000554
2017-08-29 19:03:25.900,0.003978,0.34,2.01110318885,0.807815539201,0.000554
2017-08-29 19:04:16.300,0.004073,0.34,1.81681776275,0.75055342037,0.000554
2017-08-29 19:05:06.700,0.003847,0.34,1.84792614314,0.724364470382,0.000554
2017-08-29 19:05:57.100,0.004157,0.34,1.52934038296,0.715131139571,0.000554
2017-08-29 19:06:47.500,0.003802,0.34,1.96561761668,0.817711763226,0.000554
2017-08-29 19:07:37.900,0.0037,0.34,1.89577207272,0.763972485747,0.000554
2017-08-29 19:08:28.300,0.00383,0.34,2.10034801605,0.882427982684,0.000554
2017-08-29 19:09:18.700,0.003634,0.34,1.80220968344,0.74461173623,0.000554
2017-08-29 19:10:09.100,0.003632,0.34,2.46072857172,1.06870190519,0.000554
2017-08-29 19:10:59.500,0.003701,0.34,2.34369747536,1.03053223667,0.000554
2017-08-29 19:11:49.900,0.004008,0.34,2.36636459476,0.919525948767,0.000554
2017-08-29 19:12:40.300,0.003915,0.34,1.80566829838,0.688676567043,0.000554
2017-08-29 19:13:30.700,0.00414,0.34,1.92331355089,0.758175405698,0.000554
2017-08-29 19:14:21.100,0.004018,0.34,1.7511240131,0.767523516568,0.000554
2017-08-29 19:15:11.500,0.003892,0.34,1.57368144,0.667344425747,0.000554
2017-08-29 19:16:01.900,0.003815,0.34,1.81194271522,0.764251745388,0.000554
2017-08-29 19:16:52.300,0.003713,0.34,1.87276383532,0.781023188678,0.000554
2017-08-29 19:17:42.700,0.004005,0.34,2.24701195798,0.86377624611,0.000554
2017-08-29 19:18:33.100,0.003592,0.34,1.66003629968,0.765285214315,0.000554
2017-08-29 19:19:23.500,0.0036,0.34,2.34478110031,1.1540290618,0.000554
2017-08-29 19:20:13.900,0.003994,0.34,2.48904607129,1.13719221577,0.000554
2017-08-29 19:21:04.300,0.003755,0.34,1.75071259651,0.755456093752,0.000554
2017-08-29 19:21:54.700,0.003897,0.34,2.19634402439,0.889814571054,0.000554
2017-08-29 19:22:45.100,0.00372,0.34,1.73563129412,0.721993033367,0.000554
2017-08-29 19:23:35.500,0.003981,0.34,2.33669549341,0.874745926432,0.000554
2017-08-29 19:24:25.900,0.003759,0.34,1.93578820975,0.780324569413,0.000554
2017-08-29 19:25:16.300,0.003984,0.34,2.07255884244,0.805607342919,0.000554
2017-08-29 19:26:06.700,0.004158,0.34,1.66433315955,0.768003974154,0.000554
2017-08-29 19:26:57.100,0.003585,0.34,1.81898903372,0.840344790664,0.000554
2017-08-29 19:27:47.500,0.003827,0.34,2.553257248,1.39457065909,0.000554
2017-08-29 19:28:37.900,0.003591,0.34,1.91811387486,0.792327926718,0.000554
2017-08-29 19:29:28.300,0.003988,0.34,2.57920486655,1.42412583821,0.000554
2017-08-29 19:30:18.700,0.004105,0.34,1.65927154501,0.721554403064,0.000554
2017-08-29 19:31:09.100,0.003587,0.34,1.66100777406,0.774048368425,0.000554
2017-08-29 19:31:59.500,0.003859,0.34,2.54318997085,1.63555640518,0.000554
2017-08-29 19:32:49.900,0.00388,0.34,2.02473088002,0.819322758398,0.000554
2017-08-29 19:33:40.300,0.003963,0.34,1.99591240518,0.810282477751,0.000554
2017-08-29 19:34:30.700,0.003721,0.34,1.84023311724,0.798272489943,0.000554
2017-08-29 19:35:21.100,0.00391,0.34,2.12363238012,1.11841587608,0.000554
2017-08-29 19:36:11.500,0.003657,0.34,1.77603712103,0.749987573745,0.000554
2017-08-29 19:37:01.900,0.003945,0.34,2.04961715424,1.31266527305,0.000554
2017-08-29 19:37:52.300,0.003971,0.34,1.52396696334,0.698609306912,0.000554
2017-08-29 19:38:42.700,0.003821,0.34,1.76313754992,0.754660534191,0.000554
2017-08-29 19:39:33.100,0.003632,0.34,1.82308994413,0.811431838754,0.000554
2017-08-29 19:40:23.500,0.003797,0.34,2.46792729014,1.56330763008,0.000554
2017-08-29 19:41:13.900,0.003907,0.34,2.10411037841,0.886882415322,0.000554
2017-08-29 19:42:04.300,0.003735,0.34,1.73786498808,0.735465147098,0.000554
2017-08-29 19:42:54.700,0.004054,0.34,1.87862186398,1.05020192915,0.000554
2017-08-29 19:43:45.100,0.00361,0.34,1.65339626253,0.786460290119,0.000554
2017-08-29 19:44:35.500,0.00369,0.34,2.54490743203,1.59529951754,0.000554
2017-08-29 19:45:25.900,0.004121,0.34,2.43826744128,1.24730336019,0.000554
2017-08-29 19:46:16.300,0.003944,0.34,1.69925344743,0.734988723295,0.000554
2017-08-29 19:47:06.700,0.004005,0.34,1.69629077424,0.719350331954,0.000554
2017-08-29 19:47:57.100,0.004042,0.34,1.56972468966,0.766149269821,0.000554
2017-08-29 19:48:47.500,0.003563,0.34,1.60442609978,0.753482251604,0.000554
2017-08-29 19:49:37.900,0.003793,0.34,2.8010130925,1.81308917241,0.000554
2017-08-29 19:50:28.300,0.003988,0.34,1.96033320279,0.921847701041,0.000554
2017-08-29 19:51:18.700,0.00362,0.34,1.78040329607,0.707916121672,0.000554
2017-08-29 19:52:09.100,0.00393,0.34,2.28017767602,1.62493345362,0.000554
2017-08-29 19:52:59.500,0.003688,0.34,1.76257426678,0.759609614807,0.000554
2017-08-29 19:53:49.900,0.00406,0.34,2.41627726052,1.30168628451,0.000554
2017-08-29 19:54:40.300,0.004058,0.34,1.80578418938,0.762518821147,0.000554
2017-08-29 19:55:30.700,0.003817,0.34,1.80846724585,0.790532825633,0.000554
2017-08-29 19:56:21.100,0.00378,0.34,1.94865675553,0.860988353867,0.000554
2017-08-29 19:57:11.500,0.004136,0.34,2.04957569126,0.960449662992,0.000554
2017-08-29 19:58:01.900,0.003538,0.34,1.8127232789,0.779730252924,0.000554
2017-08-29 19:58:52.300,0.003783,0.34,2.58168848879,2.32968789694,0.000554
2017-08-29 19:59:42.700,0.003839,0.34,2.06827286718,0.854316955069,0.000554
2017-08-29 20:00:33.100,0.003921,0.34,1.5613758164,0.756742061377,0.000554
2017-08-29 20:01:23.500,0.003576,0.34,1.84775909674,0.780837543317,0.000554
2017-08-29 20:02:13.900,0.003622,0.34,2.49407901726,1.85002174257,0.000554
2017-08-29 20:03:04.300,0.003943,0.34,2.46543129834,1.61307405861,0.000554
2017-08-29 20:03:54.700,0.00367,0.34,1.75664124825,0.715800599531,0.000554
2017-08-29 20:04:45.100,0.003607,0.34,2.38642043309,1.26117881349,0.000554
2017-08-29 20:05:35.500,0.00356,0.34,2.52170775044,1.52662524186,0.000554
2017-08-29 20:06:25.900,0.003636,0.34,2.50086240301,1.83335469041,0.000554
2017-08-29 20:07:16.300,0.003853,0.34,2.48613251756,1.85819761102,0.000554
2017-08-29 20:08:06.700,0.004077,0.34,1.86145724388,0.76335629546,0.000554
2017-08-29 20:08:57.100,0.004014,0.34,1.86730137955,0.774135752737,0.000554
2017-08-29 20:09:47.500,0.003617,0.34,1.79420136954,0.750569245202,0.000554
2017-08-29 20:10:37.900,0.003573,0.34,2.64681273379,1.60412396707,0.000554
2017-08-29 20:11:28.300,0.003955,0.34,2.86494244041,1.80290164778,0.000554
2017-08-29 20:12:18.700,0.003835,0.34,1.93997662512,0.734478823207,0.000554
2017-08-29 20:13:09.100,0.003844,0.34,1.98969229778,0.800364280137,0.000554
2017-08-29 20:13:59.500,0.003729,0.34,1.85870311926,0.772784112801,0.000554
2017-08-29 20:14:49.900,0.003736,0.34,2.00024591229,1.03659516841,0.000554
2017-08-29 20:15:40.300,0.004103,0.34,2.30341771577,1.07408244251,0.000554
2017-08-29 20:16:30.700,0.003815,0.34,1.67804139086,0.718894684634,0.000554
