,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms,WS_intensity
2017-08-15 12:40:37.900,0.004053,1.24159475732,1.89827098959,1.53943956913,0.00084482361818,79.38371
2017-08-15 12:41:05.500,0.004623,1.23188678098,1.85549139555,1.46791818501,0.000836646415359,80.29635
2017-08-15 12:41:21.100,0.004614,1.30862581628,1.21544532027,1.00059158189,0.000812964649638,49.67756
2017-08-15 12:41:48.700,0.004283,1.21445790038,1.40337108431,1.13803747729,0.000845438127816,74.95745
2017-08-15 12:42:04.300,0.004504,1.23935195167,1.49596316315,1.17303187763,0.000838162125028,78.66882
2017-08-15 12:42:31.900,0.004042,1.25339010228,1.91218213327,2.32639998354,0.000831630521609,79.04908
2017-08-15 12:42:47.500,0.004239,1.25751881709,1.46051868723,1.18209591497,0.000845229466666,79.47498
2017-08-15 12:43:15.100,0.004585,1.26623623916,1.64156417876,1.26999849568,0.000831334326113,76.52413
2017-08-15 12:43:30.700,0.004498,1.24405536707,1.4405997973,1.22043004188,0.000835612802227,79.96172
2017-08-15 12:43:58.300,0.004615,1.22376994989,1.85296492183,1.45298148781,0.000848441716607,79.0795
2017-08-15 12:44:13.900,0.004403,1.25666745428,1.34958124103,1.10726386159,0.000840539543177,78.66882
2017-08-15 12:44:41.500,0.003968,1.25549205455,1.80413885776,2.86501847124,0.000830330956226,78.68403
2017-08-15 12:44:57.100,0.004538,1.25850187286,1.55282414504,1.27238806783,0.000840285126486,78.02998
2017-08-15 12:45:24.700,0.004598,1.24142032155,1.67129448362,1.40760901068,0.000835449120132,78.1973
2017-08-15 12:45:40.300,0.004419,1.22338721922,1.28880643674,1.08209090463,0.000846335359185,75.79403
2017-08-15 12:46:07.900,0.004474,1.23934054168,1.35525284947,1.16920528179,0.000841413284942,77.75618
2017-08-15 12:46:23.500,0.004464,1.24650072387,1.36814208323,1.1259203669,0.000841352569844,77.58887
2017-08-15 12:46:49.900,0.004218,1.24927641929,1.40128873468,1.13963404117,0.000836900870885,76.99566
2017-08-15 12:47:09.100,0.004402,1.25147475191,1.33042821742,1.11220519499,0.000837681366179,79.26203
2017-08-15 12:47:40.300,0.004063,1.22820533864,1.89334489708,1.43088221554,0.000841205114985,78.44066
2017-08-15 12:47:59.500,0.004438,1.24398521067,1.37755792835,1.13801101622,0.000841357807987,78.9426
2017-08-15 12:48:30.700,0.003965,1.24738820387,2.03798683289,1.51952214793,0.000841178965978,75.77882
2017-08-15 12:48:49.900,0.004137,1.24231185895,1.70070695629,1.33732020034,0.000836919750493,78.16687
2017-08-15 12:49:21.100,0.003975,1.2312267775,2.01355399272,1.52905249111,0.00084288476416,78.95782
2017-08-15 12:49:40.300,0.004011,1.24943104616,2.03393294292,1.56848518615,0.000839309985636,77.33029
2017-08-15 12:50:11.500,0.00452,1.24404778608,1.36527093528,1.18090856573,0.000836807645268,77.55845
2017-08-15 12:50:30.700,0.00443,1.21372222573,1.3016524239,1.14140153091,0.000855106616721,76.02219
2017-08-15 12:51:01.900,0.004165,1.24535436746,1.67944103259,1.26672871713,0.000837009226723,79.55103
2017-08-15 12:51:21.100,0.004609,1.2303969842,1.60101600733,1.32119380824,0.000845114229372,75.36813
2017-08-15 12:51:52.300,0.003967,1.26231452916,1.93836291237,1.61201793553,0.000841503032569,76.66103
2017-08-15 12:52:11.500,0.00425,1.24294138964,1.48511780693,1.21728582208,0.000840142805625,79.15556
2017-08-15 12:52:42.700,0.00421,1.22269005062,1.43159688335,1.11820649898,0.000847057710025,75.39856
2017-08-15 12:53:01.900,0.004479,1.24721416266,1.3393497628,1.14990110657,0.000833669474089,79.20119
2017-08-15 12:53:33.100,0.0045,1.22634399891,1.32875014172,1.11165814278,0.000849818015322,72.55419
2017-08-15 12:53:52.300,0.004074,1.2574288101,1.89933669887,1.62699338063,0.00084307609945,79.04908
2017-08-15 12:54:23.500,0.004286,1.23543152706,1.280782329,1.08772310251,0.000840548564714,75.82445
2017-08-15 12:54:42.700,0.004255,1.24932319426,1.43044724272,1.1505894035,0.000839904959348,79.38371
2017-08-15 12:55:13.900,0.004396,1.22725551588,1.32531285073,1.11126071355,0.000840244044693,77.63451
2017-08-15 12:55:33.100,0.00444,1.22073685227,1.2570237389,1.08089305989,0.000846765109686,74.37945
