           0  1.4105383E-03
           1  8.7773940E-04
           2  5.8332609E-04
           3  4.1160165E-04
           4  3.0551519E-04
           5  2.3819804E-04
           6  1.9547166E-04
           7  1.6852836E-04
           8  1.5106495E-04
           9  1.3935212E-04
          10  1.3123687E-04
          11  1.2545315E-04
          12  1.2128665E-04
          13  1.1824756E-04
          14  1.1599301E-04
          15  1.1429741E-04
          16  1.1299722E-04
          17  1.1198791E-04
          18  1.1117964E-04
          19  1.1051783E-04
          20  1.0997249E-04
          21  1.0951302E-04
          22  1.0912002E-04
          23  1.0878100E-04
          24  1.0848224E-04
          25  1.0821581E-04
