           0  7.4651730E-03
           1  1.2295572E-02
           2  1.2791374E-02
           3  1.3695664E-02
           4  1.4308782E-02
           5  1.4747578E-02
           6  1.5101321E-02
           7  1.5393976E-02
           8  1.5676254E-02
           9  1.5985472E-02
          10  1.6289577E-02
          11  1.6618660E-02
          12  1.6935166E-02
          13  1.7176015E-02
          14  1.7413193E-02
          15  1.7644890E-02
          16  1.7826844E-02
          17  1.7989222E-02
          18  1.8159274E-02
          19  1.8327333E-02
          20  1.8481176E-02
          21  1.8631194E-02
          22  1.8800370E-02
          23  1.8970042E-02
          24  1.9125264E-02
          25  1.9250508E-02
