           0  1.3764716E-03
           1  8.5764198E-04
           2  5.7595735E-04
           3  4.1151416E-04
           4  3.0924816E-04
           5  2.4357256E-04
           6  2.0119206E-04
           7  1.7394783E-04
           8  1.5595216E-04
           9  1.4360443E-04
          10  1.3485114E-04
          11  1.2846853E-04
          12  1.2370374E-04
          13  1.2009512E-04
          14  1.1733625E-04
          15  1.1521723E-04
          16  1.1358269E-04
          17  1.1230238E-04
          18  1.1127685E-04
          19  1.1043729E-04
          20  1.0973735E-04
          21  1.0914822E-04
          22  1.0864817E-04
          23  1.0821827E-04
          24  1.0784031E-04
          25  1.0750490E-04
