,WS_intensity,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms
2017-10-10 11:32:59.500,78.02998,0.003682,1.22,1.36142758118,1.18081476694,0.000834
2017-10-10 11:33:31.900,79.27724,0.003374,1.22,1.36142758118,1.18081476694,0.000834
2017-10-10 11:35:19.900,78.39503,0.003578,1.22,2.12130951374,1.84578892684,0.000834
2017-10-10 11:37:47.500,76.0526,0.003736,1.22,1.36859729101,1.14961766597,0.000834
2017-10-10 11:38:19.900,76.06782,0.003621,1.22,1.36859729101,1.14961766597,0.000834
2017-10-10 11:40:07.900,80.37239,0.003444,1.22,1.51655162898,1.24629160459,0.000834
2017-10-10 11:40:47.500,75.38335,0.00344,1.22,1.7943868355,1.38113052071,0.000834
2017-10-10 11:41:19.900,77.13255,0.003386,1.22,1.7943868355,1.38113052071,0.000834
2017-10-10 11:41:55.900,77.58887,0.003789,1.22,1.87813120845,1.41859394798,0.000834
2017-10-10 11:42:31.900,79.41413,0.003412,1.22,1.40609937674,1.17188399727,0.000834
2017-10-10 11:43:07.900,77.64971,0.003331,1.22,1.81293049216,1.4074492942,0.000834
2017-10-10 11:43:43.900,77.72577,0.003448,1.22,1.81988876259,1.27702264503,0.000834
2017-10-10 11:44:19.900,74.13608,0.003667,1.22,1.71646940305,1.27848522017,0.000834
2017-10-10 11:44:55.900,79.23161,0.003647,1.22,1.39952612748,1.16830959417,0.000834
2017-10-10 11:45:31.900,77.78661,0.003644,1.22,1.62570181462,1.18989394608,0.000834
2017-10-10 11:46:07.900,77.04129,0.003244,1.22,1.6148099797,1.17411796278,0.000834
2017-10-10 11:46:43.900,78.37981,0.003456,1.22,2.46230436068,1.86176806133,0.000834
2017-10-10 11:47:19.900,74.63802,0.003759,1.22,1.99755285079,1.59408808427,0.000834
2017-10-10 11:47:55.900,77.42155,0.003423,1.22,1.45214450663,1.20587220381,0.000834
2017-10-10 11:48:31.900,78.86655,0.003584,1.22,1.72269344086,1.48976682521,0.000834
2017-10-10 11:49:07.900,76.98045,0.003412,1.22,1.59111076359,1.23870918513,0.000834
2017-10-10 11:49:43.900,78.3494,0.003312,1.22,2.06631307108,1.65636126081,0.000834
2017-10-10 11:50:19.900,79.24682,0.003464,1.22,2.30801105611,1.81307390649,0.000834
2017-10-10 11:50:55.900,76.73708,0.003711,1.22,1.84670575126,1.50337812417,0.000834
2017-10-10 11:51:31.900,79.91608,0.003805,1.22,1.38560922771,1.13266211398,0.000834
2017-10-10 11:52:07.900,76.55456,0.003737,1.22,1.38930281084,1.13896737472,0.000834
2017-10-10 11:52:43.900,77.83224,0.003288,1.22,1.30178187067,1.0897457434,0.000834
