,WS_intensity,bunched,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms
2017-08-24 16:55:31.900,78.98824,False,0.003441,8.96209221158,1.25654126396,1.31309388914,0.00101924561017
2017-08-24 16:56:22.300,76.64582,False,0.003478,23.3579338077,1.45382541713,1.31389493812,0.000904060578715
2017-08-24 16:57:12.700,75.27687,True,0.003478,1.37783426542,1.6986008062,1.35794962808,0.000839825528804
2017-08-24 16:58:03.100,79.6575,True,0.003478,1.37738900848,1.73265084615,1.43151823008,0.000841002276695
2017-08-24 16:58:53.500,79.84003,True,0.003478,1.35196784366,1.79422857169,1.44070086122,0.000846189817181
2017-08-24 16:59:43.900,77.71056,True,0.003478,1.39023824481,1.79296637844,1.58998917155,0.000835078700304
2017-08-24 17:00:34.300,75.23124,True,0.003478,5.73286377222,1.46269654024,1.53190348047,0.00105449903702
2017-08-24 17:01:24.700,79.77919,False,0.003478,23.3884815103,1.37299407645,1.30824946184,0.000903524757538
2017-08-24 17:02:15.100,79.0795,False,0.003478,23.4112768553,1.38207158841,1.49528649883,0.000877835840203
2017-08-24 17:03:05.500,79.10992,False,0.003478,22.8794182528,1.36522408823,1.46714119891,0.000904405434163
2017-08-24 17:03:55.900,76.20471,False,0.003478,23.0790716073,1.35620972889,1.43870858536,0.000904871548847
2017-08-24 17:04:46.300,78.91219,False,0.003515,23.0175178817,1.26896951211,1.44995093769,0.000902192765257
2017-08-24 17:05:36.700,78.48629,True,0.003515,1.3618429773,1.73969965032,1.74467737603,0.000841486744371
2017-08-24 17:06:27.100,78.2125,True,0.003515,1.38311915122,1.61981068861,1.64996025735,0.000842019937873
2017-08-24 17:07:17.500,77.86266,True,0.003515,1.38122297702,1.45932589654,1.4669190913,0.00084005887161
2017-08-24 17:08:07.900,78.71445,True,0.003515,1.35690446089,1.63554034734,1.3863661381,0.000844304679118
2017-08-24 17:08:58.300,78.33418,True,0.003515,25.1836945847,2.37287872823,1.40882439183,0.00041480350647
2017-08-24 17:09:48.700,80.05298,False,0.003515,5.86857705605,1.4012104807,1.27298972339,0.000874944478859
2017-08-24 17:10:39.100,79.03387,False,0.003515,5.79286901864,1.31996495713,1.2761510556,0.000904663626906
2017-08-24 17:11:29.500,77.63451,False,0.003515,5.75330193916,1.32749623771,1.25892741165,0.000916811566273
2017-08-24 17:12:19.900,77.71056,False,0.003515,5.90352095034,1.4352002208,1.33699685803,0.000893347250607
2017-08-24 17:13:10.300,80.28114,False,0.003552,5.96255652482,1.29488487858,1.29800312697,0.000912246444149
2017-08-24 17:14:00.700,79.55103,True,0.003552,1.38035720826,1.63771921499,1.37181464866,0.000836262594298
2017-08-24 17:14:51.100,78.07561,True,0.003552,1.35063022493,1.53344013907,1.3287429429,0.000858027867737
2017-08-24 17:15:41.500,76.55456,True,0.003552,1.35764359358,1.5806056965,1.32236535411,0.000845710400055
2017-08-24 17:16:31.900,75.85487,True,0.003552,1.37653099483,1.50495848167,1.28648707054,0.000844305882394
2017-08-24 17:17:22.300,79.09471,True,0.003552,2.79122310562,1.18368375515,1.36235778042,0.0010642035767
2017-08-24 17:18:12.700,75.97655,False,0.003552,5.77047995878,1.33229846373,1.23980408285,0.000882823600122
2017-08-24 17:19:03.100,81.22418,False,0.003552,5.86857648479,1.31556702771,1.28605956592,0.000896318840872
2017-08-24 17:19:53.500,77.0565,False,0.003552,5.89595676153,1.26627110075,1.22125762077,0.000907672792086
2017-08-24 17:20:43.900,76.17429,False,0.003552,5.90416458935,1.26765039351,1.24409579816,0.000901843694725
2017-08-24 17:21:34.300,75.41376,False,0.003589,5.89937859997,1.35332143141,1.24832305925,0.000876615576395
2017-08-24 17:22:24.700,80.34198,True,0.003589,1.37442208252,1.60849410251,1.36888470702,0.000839599895411
2017-08-24 17:34:48.700,78.47108,False,0.003626,5.94653851027,1.14327035952,1.11368162308,0.000885438798709
2017-08-24 17:35:39.100,78.22771,False,0.003663,5.89359871029,1.16965456964,1.17927612725,0.000885483311928
2017-08-24 17:36:29.500,80.17466,True,0.003663,1.33792354332,1.5234784317,1.30677114972,0.000866281339466
2017-08-24 17:37:19.900,75.91572,True,0.003663,1.36243840276,1.57262469339,1.24276510417,0.000841636718846
2017-08-24 17:38:10.300,78.5015,True,0.003663,1.35402608516,1.49692480246,1.26881181803,0.000853683642858
2017-08-24 17:39:00.700,78.45587,True,0.003663,1.36023308035,1.52176061817,1.26767364883,0.000851993735428
2017-08-24 17:39:51.100,78.48629,True,0.003663,13.6152431312,1.97484508472,1.27856940485,0.00060708196159
2017-08-24 17:40:41.500,76.00697,False,0.003663,5.88056148338,1.2222107025,1.21239852613,0.000894784940552
2017-08-24 17:41:31.900,79.14034,False,0.003663,5.86664157368,1.30254062469,1.22727098305,0.000897787152937
2017-08-24 17:42:22.300,79.3685,False,0.003663,5.76255832565,1.21213363716,1.16516155077,0.000896270351522
2017-08-24 17:43:12.700,80.22029,False,0.003663,5.89930041614,1.2539443244,1.18868753966,0.00089847320217
2017-08-24 17:44:03.100,78.85134,False,0.0037,5.87718083452,1.27752539882,1.2113812496,0.000878455613233
2017-08-24 17:44:53.500,80.50929,True,0.0037,1.36554237839,1.65815909412,1.29442056974,0.000853571373469
2017-08-24 17:45:43.900,77.9235,True,0.0037,1.35652408396,1.52626290353,1.27089074585,0.000834167229142
2017-08-24 17:46:34.300,79.53582,True,0.0037,1.3442128212,1.60753049618,1.29856938282,0.00085569901414
2017-08-24 17:47:24.700,74.0144,True,0.0037,1.34662951343,1.44322845724,1.2654101744,0.000858652610018
2017-08-24 17:48:15.100,76.67624,True,0.0037,26.4900121667,2.30728714893,1.283443464,0.000296833258789
2017-08-24 17:49:05.500,82.19765,False,0.0037,5.72577697657,1.35294734956,1.39016871087,0.000910909964371
2017-08-24 17:49:55.900,77.37592,False,0.0037,5.90225088601,1.38525038589,1.32631879246,0.000887294552232
2017-08-24 17:50:46.300,77.71056,False,0.0037,5.98364735179,1.43657713545,1.3018792948,0.000901173494394
2017-08-24 17:51:36.700,77.98434,False,0.0037,5.79246632907,1.36160435044,1.2589903592,0.000887694048063
2017-08-24 17:52:27.100,81.84782,False,0.003737,5.90617629589,1.4186473544,1.35503049589,0.000894687618675
2017-08-24 17:53:17.500,79.17076,False,0.003737,5.78301342744,1.71433452788,1.51961032488,0.000892988122561
2017-08-24 17:54:07.900,76.58498,True,0.003737,1.36629065474,1.80236581802,1.43041729612,0.000846657907895
2017-08-24 17:54:58.300,77.72577,True,0.003737,1.34060916143,1.86875432959,1.39633076266,0.000846597763504
2017-08-24 17:55:48.700,74.60761,True,0.003737,1.37343224909,1.78238405795,1.46966441433,0.000845632571561
2017-08-24 17:56:39.100,79.71835,True,0.003737,7.63314752535,1.63785814596,1.53380382543,0.000928304092802
2017-08-24 17:57:29.500,75.59629,False,0.003737,5.84334695624,1.45671110282,1.33887640515,0.000888379002414
2017-08-24 17:58:19.900,78.76009,False,0.003737,5.90747098761,1.22433078081,1.29077653079,0.000885668762204
2017-08-24 17:59:10.300,81.20898,False,0.003737,5.95797238174,1.3562236596,1.33618703895,0.000895862010579
2017-08-24 18:00:00.700,81.02645,False,0.003737,5.9494229332,1.23026058939,1.35512304062,0.000911032932078
2017-08-24 18:00:51.100,75.36813,False,0.003774,5.79004383967,1.26292402271,1.25751759499,0.00091269363168
2017-08-24 18:01:41.500,75.52024,True,0.003774,1.35782606516,1.73501303573,1.4167379486,0.000844438849353
2017-08-24 18:02:31.900,77.23903,True,0.003774,1.37201027818,1.84677410658,1.51341823478,0.000844350557216
2017-08-24 18:03:22.300,78.66882,True,0.003774,1.34221761013,1.86110381628,1.52859732746,0.00085984379422
2017-08-24 18:04:12.700,77.20861,True,0.003774,1.35882007972,1.68356631993,1.34119619722,0.000857026262541
2017-08-24 18:05:03.100,76.17429,True,0.003774,5.82508709903,1.53914889943,1.31340963079,0.000885659481954
2017-08-24 18:05:53.500,78.01476,False,0.003774,5.93241913439,1.3974974002,1.27733606139,0.000874281682441
