           0  1.4359799E-03
           1  8.9324464E-04
           2  5.9566909E-04
           3  4.1956370E-04
           4  3.0848899E-04
           5  2.3597058E-04
           6  1.8814154E-04
           7  1.5652520E-04
           8  1.3501238E-04
           9  1.1987276E-04
          10  1.0894743E-04
          11  1.0087534E-04
          12  9.4793708E-05
          13  9.0141439E-05
          14  8.6539287E-05
          15  8.3694242E-05
          16  8.1417078E-05
          17  7.9571488E-05
          18  7.8057114E-05
          19  7.6793265E-05
          20  7.5726115E-05
          21  7.4815558E-05
          22  7.4029347E-05
          23  7.3344941E-05
          24  7.2741517E-05
          25  7.2205919E-05
