,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms,WS_intensity
2017-10-11 16:02:51.100,0.004029,0.58,2.58882392409,2.08734967197,0.000594,26.75531
2017-10-11 16:03:35.500,0.004069,0.58,2.63665065798,2.0820101054,0.000594,26.61841
2017-10-11 16:04:09.100,0.004098,0.58,2.63665065798,2.0820101054,0.000594,26.51194
2017-10-11 16:04:53.500,0.003791,0.58,2.51809189024,2.07618937034,0.000594,25.11257
2017-10-11 16:05:37.900,0.00405,0.58,3.43157789185,2.35314216032,0.000594,24.76273
2017-10-11 16:06:22.300,0.004034,0.58,2.38364340486,1.95721423661,0.000594,24.93005
2017-10-11 16:07:06.700,0.003718,0.58,2.64669916074,2.16953884117,0.000594,27.16599
2017-10-11 16:07:51.100,0.00369,0.58,3.91253821521,2.67708784471,0.000594,24.85399
2017-10-11 16:08:35.500,0.003934,0.58,3.98637411867,2.58371189078,0.000594,25.79704
2017-10-11 16:09:19.900,0.00423,0.58,2.93929484085,2.24923407784,0.000594,26.7401
2017-10-11 16:10:04.300,0.003832,0.58,3.404254873,2.63262574334,0.000594,26.93783
2017-10-11 16:10:48.700,0.003989,0.58,3.23828343477,2.37805445881,0.000594,24.94526
2017-10-11 16:11:33.100,0.003757,0.58,2.67555814898,2.19259190932,0.000594,26.6032
2017-10-11 16:12:17.500,0.004096,0.58,3.62115744364,2.49923770565,0.000594,26.75531
2017-10-11 16:13:01.900,0.003777,0.58,2.69625012775,2.10288116758,0.000594,26.80094
2017-10-11 16:13:46.300,0.003939,0.58,3.69672477373,2.57661387073,0.000594,25.40157
2017-10-11 16:14:30.700,0.004063,0.58,2.94994404302,2.25836890996,0.000594,26.7401
2017-10-11 16:15:15.100,0.004186,0.58,2.59705346857,2.12265838973,0.000594,27.0291
2017-10-11 16:15:59.500,0.00423,0.58,3.00973107701,2.35774994858,0.000594,26.37505
2017-10-11 16:16:43.900,0.003965,0.58,3.56546150941,2.55662909632,0.000594,25.94915
2017-10-11 16:17:28.300,0.003703,0.58,2.80801783671,2.19145638839,0.000594,26.99868
2017-10-11 16:18:12.700,0.003709,0.58,3.8115895876,2.63600335119,0.000594,26.05562
2017-10-11 16:18:57.100,0.003779,0.58,4.08332264257,2.79355789442,0.000594,26.63362
2017-10-11 16:19:41.500,0.004154,0.58,3.19780412904,2.33102321115,0.000594,25.59931
2017-10-11 16:20:25.900,0.003777,0.58,3.08105842338,2.28006924008,0.000594,27.37894
2017-10-11 16:21:10.300,0.004137,0.58,3.51203958825,2.51625519748,0.000594,26.81615
2017-10-11 16:21:54.700,0.00377,0.58,2.85798955016,2.21905091184,0.000594,26.23815
2017-10-11 16:22:39.100,0.00421,0.58,4.01868150053,2.64947422084,0.000594,25.14299
2017-10-11 16:23:23.500,0.003838,0.58,3.35299358443,2.36486119408,0.000594,25.11257
2017-10-11 16:24:07.900,0.00374,0.58,3.43899715182,2.49535543682,0.000594,27.39415
2017-10-11 16:24:52.300,0.003775,0.58,3.92015048517,2.58774243872,0.000594,25.8731
2017-10-11 16:25:36.700,0.004009,0.58,3.80584421045,2.58280585459,0.000594,26.26857
2017-10-11 16:26:21.100,0.003918,0.58,2.5828607086,2.02951555129,0.000594,25.2951
2017-10-11 16:27:05.500,0.003839,0.58,2.54647776382,1.98291163609,0.000594,25.03652
2017-10-11 16:27:49.900,0.004147,0.58,3.38400686286,2.32702850145,0.000594,25.96436
2017-10-11 16:28:34.300,0.003989,0.58,2.81912327789,2.14296614234,0.000594,25.47762
2017-10-11 16:29:18.700,0.003967,0.58,2.63604887316,2.15653113881,0.000594,26.58799
2017-10-11 16:30:03.100,0.004203,0.58,2.61270830779,1.98581755948,0.000594,24.91483
2017-10-11 16:30:47.500,0.003797,0.58,3.1842053082,2.43561388317,0.000594,26.32941
2017-10-11 16:31:31.900,0.0041,0.58,3.63255044568,2.57880834843,0.000594,26.54236
2017-10-11 16:32:16.300,0.004098,0.58,2.68474847542,2.10763848588,0.000594,25.59931
2017-10-11 16:33:00.700,0.003858,0.58,2.6748160489,2.07545257922,0.000594,26.57278
2017-10-11 16:33:45.100,0.003978,0.58,3.01109562542,2.23185954047,0.000594,25.88831
2017-10-11 16:34:29.500,0.003662,0.58,2.6566115232,2.15073463297,0.000594,26.00999
2017-10-11 16:35:13.900,0.003648,0.58,4.32015809161,3.07117438319,0.000594,26.6032
2017-10-11 16:35:58.300,0.003954,0.58,4.29683747503,2.88616406844,0.000594,26.96825
2017-10-11 16:36:42.700,0.004114,0.58,2.6214603174,2.06239777341,0.000594,24.77794
2017-10-11 16:37:27.100,0.004214,0.58,2.55045206331,2.03286802242,0.000594,24.85399
2017-10-11 16:38:11.500,0.003697,0.58,3.4548944042,2.51829801088,0.000594,25.75141
2017-10-11 16:38:55.900,0.003979,0.58,4.01101970392,2.80962172445,0.000594,24.74752
2017-10-11 16:39:40.300,0.003915,0.58,2.70119893872,2.09068357349,0.000594,25.32552
2017-10-11 16:40:24.700,0.003621,0.58,2.57559057805,2.09202051764,0.000594,24.32162
2017-10-11 16:41:09.100,0.00383,0.58,4.37820009436,3.13954431609,0.000594,26.96825
2017-10-11 16:41:53.500,0.003718,0.58,3.24150634507,2.41510873829,0.000594,27.36373
2017-10-11 16:42:37.900,0.004124,0.58,4.34267727754,2.76373642823,0.000594,26.19252
2017-10-11 16:43:22.300,0.003813,0.58,2.87940677444,2.25805819497,0.000594,26.96825
2017-10-11 16:44:06.700,0.003953,0.58,3.31434024931,2.42527675955,0.000594,25.34073
2017-10-11 16:44:51.100,0.00372,0.58,2.6600310954,2.14648503168,0.000594,25.35594
2017-10-11 16:45:35.500,0.004,0.58,3.67377493758,2.51404109092,0.000594,25.50805
2017-10-11 16:46:19.900,0.003782,0.58,2.62308084155,2.25830484841,0.000594,26.92262
2017-10-11 16:47:04.300,0.004034,0.58,3.80827139214,2.6595505752,0.000594,26.29899
2017-10-11 16:47:48.700,0.004056,0.58,2.6698869817,2.19130097222,0.000594,25.99478
2017-10-11 16:48:33.100,0.004094,0.58,2.71822946304,2.25080180615,0.000594,26.96825
2017-10-11 16:49:17.500,0.003903,0.58,2.58996920396,2.11204659332,0.000594,25.85789
2017-10-11 16:50:01.900,0.003667,0.58,3.00602580742,2.28869436458,0.000594,25.20383
2017-10-11 16:50:46.300,0.003761,0.58,4.07480905692,2.89601051113,0.000594,25.02131
2017-10-11 16:51:30.700,0.0042,0.58,4.10283762142,2.82209089658,0.000594,26.69447
2017-10-11 16:52:15.100,0.003711,0.58,3.03322847819,2.34416416554,0.000594,25.53847
2017-10-11 16:52:59.500,0.004144,0.58,4.07127411872,2.72549891061,0.000594,25.11257
2017-10-11 16:53:43.900,0.003959,0.58,2.69810825285,2.18864533096,0.000594,25.35594
2017-10-11 16:54:28.300,0.004253,0.58,2.74680422249,2.16924267687,0.000594,25.78183
2017-10-11 16:55:12.700,0.003664,0.58,3.37830283748,2.60323410911,0.000594,25.35594
2017-10-11 16:55:57.100,0.003898,0.58,4.32538512355,2.96882222389,0.000594,25.41678
2017-10-11 16:56:41.500,0.003682,0.58,2.66048545533,2.2002414044,0.000594,25.14299
2017-10-11 16:57:25.900,0.004231,0.58,4.33657458792,3.04674607772,0.000594,26.67925
2017-10-11 16:58:10.300,0.003616,0.58,3.64604021299,2.71556329057,0.000594,27.57668
2017-10-11 16:58:54.700,0.004111,0.58,4.45001739099,3.07840665351,0.000594,26.99868
2017-10-11 16:59:39.100,0.004139,0.58,2.77515498518,2.15435207417,0.000594,26.20773
2017-10-11 17:10:55.900,0.00387,0.58,2.84003011333,2.19587969477,0.000594,25.91873
2017-10-11 17:11:24.700,0.00378,0.58,2.84003011333,2.19587969477,0.000594,26.4511
2017-10-11 17:12:09.100,0.004127,0.58,3.597687033,2.49554694773,0.000594,25.90352
2017-10-11 17:12:53.500,0.003891,0.58,2.63739856797,2.20914804854,0.000594,26.61841
2017-10-11 17:13:37.900,0.004199,0.58,2.67886915254,2.09613687036,0.000594,25.26468
2017-10-11 17:14:22.300,0.00373,0.58,3.01006026374,2.35889267267,0.000594,26.96825
2017-10-11 17:16:19.900,0.003783,0.58,3.56698366443,2.47993103458,0.000594,27.51583
2017-10-11 17:17:19.900,0.003707,0.58,4.40281704077,2.7424187669,0.000594,26.51194
2017-10-11 17:18:19.900,0.003701,0.58,4.18311598157,2.73708243085,0.000594,27.08994
2017-10-11 17:18:48.700,0.004172,0.58,4.18311598157,2.73708243085,0.000594,25.70578
2017-10-11 17:19:33.100,0.003986,0.58,2.93919951936,2.26954201968,0.000594,26.17731
2017-10-11 17:20:17.500,0.003967,0.58,2.58140613496,2.11674504036,0.000594,25.90352
2017-10-11 17:21:01.900,0.003707,0.58,2.77961867116,2.19074171882,0.000594,26.54236
2017-10-11 17:21:46.300,0.004161,0.58,4.13619941699,2.80005849473,0.000594,27.04431
2017-10-11 17:22:30.700,0.004013,0.58,2.90305646472,2.12410587665,0.000594,24.80836
2017-10-11 17:23:15.100,0.003839,0.58,2.64079187999,2.14042970816,0.000594,25.88831
2017-10-11 17:23:59.500,0.003943,0.58,3.07188536469,2.50222690233,0.000594,27.36373
2017-10-11 17:24:43.900,0.003872,0.58,2.69873211597,2.21055487753,0.000594,26.84657
2017-10-11 17:25:28.300,0.003662,0.58,2.82159221186,2.15249423437,0.000594,24.65626
2017-10-11 17:26:12.700,0.003768,0.58,4.17995859647,2.79113776473,0.000594,25.99478
2017-10-11 17:26:57.100,0.003693,0.58,3.54105201484,2.49687003186,0.000594,25.56889
