,WS_intensity,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms
2017-08-30 21:12:41.500,75.76361,0.003447,1.19,1.34040808553,1.33408902055,0.000852
2017-08-30 21:13:24.700,77.98434,0.003428,1.19,1.79579940537,1.73156413345,0.000852
2017-08-30 21:14:07.900,72.64545,0.003941,1.19,1.84067636874,1.73278975804,0.000852
2017-08-30 21:14:51.100,76.82835,0.003458,1.19,1.46267826196,1.33958269037,0.000852
2017-08-30 21:15:34.300,77.1934,0.003458,1.19,1.81462401372,1.70587529589,0.000852
2017-08-30 21:16:17.500,76.0526,0.00346,1.19,1.64811481033,1.68004264742,0.000852
2017-08-30 21:17:00.700,76.12866,0.003421,1.19,1.62821159713,1.61425484677,0.000852
2017-08-30 21:17:43.900,77.01087,0.003639,1.19,1.77617743431,1.74892921544,0.000852
2017-08-30 21:18:27.100,77.42155,0.003767,1.19,1.42174108732,1.39079895817,0.000852
2017-08-30 21:19:10.300,77.16298,0.003864,1.19,1.3270589126,1.26423204288,0.000852
2017-08-30 21:19:53.500,76.06782,0.00384,1.19,1.28521005365,1.26023081667,0.000852
2017-08-30 21:20:36.700,78.86655,0.003794,1.19,1.36829407504,1.29110974684,0.000852
2017-08-30 21:21:19.900,75.79403,0.00365,1.19,1.36842091432,1.24353389201,0.000852
2017-08-30 21:22:03.100,78.30376,0.003791,1.19,1.37605213413,1.34309249726,0.000852
2017-08-30 21:22:46.300,78.53192,0.00394,1.19,1.2909287782,1.27376851872,0.000852
2017-08-30 21:23:29.500,77.78661,0.00367,1.19,1.4155796096,1.40101204522,0.000852
2017-08-30 21:24:12.700,75.44418,0.003549,1.19,1.34577251166,1.26885950318,0.000852
2017-08-30 21:24:55.900,77.60408,0.00384,1.19,1.56064067323,1.46060214204,0.000852
2017-08-30 21:25:39.100,76.60019,0.003508,1.19,1.35184311357,1.29790619947,0.000852
2017-08-30 21:26:22.300,78.42545,0.003507,1.19,1.67468189473,1.57182743149,0.000852
2017-08-30 21:27:05.500,78.28855,0.003645,1.19,1.61455461285,1.55010793019,0.000852
2017-08-30 21:27:48.700,75.13998,0.003738,1.19,1.37842100241,1.30268642325,0.000852
2017-08-30 21:28:31.900,78.27334,0.003735,1.19,1.41190317288,1.257234856,0.000852
2017-08-30 21:29:15.100,77.63451,0.00344,1.19,1.34010969993,1.24656496933,0.000852
2017-08-30 21:29:58.300,75.3073,0.003441,1.19,1.82698716817,1.77905435738,0.000852
2017-08-30 21:30:41.500,75.41376,0.003537,1.19,1.70072892075,1.68325089147,0.000852
2017-08-30 21:31:24.700,75.91572,0.003807,1.19,1.55041648883,1.50089182575,0.000852
2017-08-30 21:32:07.900,79.97692,0.003613,1.19,1.35848726198,1.31246521744,0.000852
2017-08-30 21:32:51.100,76.44808,0.003863,1.19,1.45920798629,1.42022084335,0.000852
2017-08-30 21:33:34.300,76.96524,0.003927,1.19,1.40610983996,1.37280657413,0.000852
2017-08-30 21:34:17.500,78.72966,0.003606,1.19,1.47388284022,1.4346160875,0.000852
2017-08-30 21:35:00.700,76.64582,0.003398,1.19,1.37140518619,1.349422731,0.000852
2017-08-30 21:35:43.900,73.08656,0.003709,1.19,1.7494532168,1.80778788982,0.000852
2017-08-30 21:36:27.100,78.31898,0.003814,1.19,1.37246096136,1.32273024273,0.000852
2017-08-30 21:37:10.300,76.46329,0.003559,1.19,1.35594217614,1.27840352384,0.000852
2017-08-30 21:37:53.500,73.45161,0.003662,1.19,1.39749875786,1.39924475152,0.000852
2017-08-30 21:38:36.700,79.87045,0.0035,1.19,1.39310156849,1.38868505516,0.000852
2017-08-30 21:39:19.900,74.60761,0.003929,1.19,1.46663282585,1.53106061597,0.000852
2017-08-30 21:40:03.100,80.50929,0.003656,1.19,1.51893428885,1.43463753756,0.000852
2017-08-30 21:41:29.500,78.01476,0.003499,1.19,1.3431997142,1.34243568296,0.000852
2017-08-30 21:42:12.700,78.13645,0.003424,1.19,1.59893333463,1.60709754502,0.000852
2017-08-30 21:42:55.900,77.31508,0.003403,1.19,1.75719263996,1.70487837081,0.000852
2017-08-30 21:43:39.100,74.97266,0.003857,1.19,1.85183626961,1.81044074968,0.000852
2017-08-30 21:44:22.300,77.51282,0.003829,1.19,1.40741014789,1.30129218763,0.000852
2017-08-30 21:45:05.500,77.01087,0.003484,1.19,1.38749109274,1.29652853613,0.000852
2017-08-30 21:45:48.700,78.04518,0.003903,1.19,1.71321529933,1.63546647456,0.000852
2017-08-30 21:46:31.900,77.43677,0.003776,1.19,1.44611208986,1.33531349716,0.000852
2017-08-30 21:47:15.100,78.59277,0.00376,1.19,1.38816052496,1.26834850842,0.000852
2017-08-30 21:47:58.300,78.45587,0.00396,1.19,1.35370184436,1.35523153914,0.000852
2017-08-30 21:48:41.500,78.76009,0.003387,1.19,1.47758846186,1.4040600708,0.000852
2017-08-30 21:49:24.700,77.9235,0.003621,1.19,1.93875000365,1.89646619015,0.000852
2017-08-30 21:50:07.900,77.22382,0.00366,1.19,1.44093227992,1.37325997273,0.000852
2017-08-30 21:50:51.100,77.63451,0.003716,1.19,1.40194015535,1.33756008886,0.000852
2017-08-30 21:51:34.300,79.10992,0.003417,1.19,1.35554995927,1.29589100212,0.000852
2017-08-30 21:52:17.500,77.3455,0.003762,1.19,1.91428671321,1.81600222317,0.000852
2017-08-30 21:53:00.700,77.40635,0.003398,1.19,1.29668789492,1.27093848571,0.000852
2017-08-30 21:53:43.900,73.17782,0.0037,1.19,1.72142671312,1.78202042038,0.000852
2017-08-30 21:54:27.100,79.74876,0.003793,1.19,1.39166603089,1.35175343007,0.000852
2017-08-30 21:55:10.300,78.59277,0.003659,1.19,1.42314195037,1.29516858444,0.000852
2017-08-30 21:55:53.500,77.86266,0.003737,1.19,1.40286719263,1.30092761906,0.000852
