           0  1.3983990E-03
           1  8.6922891E-04
           2  5.7890569E-04
           3  4.0846545E-04
           4  3.0210984E-04
           5  2.3376232E-04
           6  1.8952717E-04
           7  1.6121528E-04
           8  1.4265264E-04
           9  1.3011125E-04
          10  1.2138044E-04
          11  1.1513944E-04
          12  1.1058532E-04
          13  1.0721457E-04
          14  1.0469960E-04
          15  1.0281443E-04
          16  1.0137748E-04
          17  1.0026735E-04
          18  9.9398429E-05
          19  9.8696488E-05
          20  9.8121636E-05
          21  9.7643067E-05
          22  9.7237375E-05
          23  9.6889213E-05
          24  9.6587763E-05
          25  9.6322474E-05
