           0  1.4246417E-03
           1  8.8393717E-04
           2  5.8783765E-04
           3  4.1283006E-04
           4  3.0268545E-04
           5  2.3105129E-04
           6  1.8406719E-04
           7  1.5331439E-04
           8  1.3258999E-04
           9  1.1814423E-04
          10  1.0778398E-04
          11  1.0015194E-04
          12  9.4400282E-05
          13  8.9986519E-05
          14  8.6523920E-05
          15  8.3767161E-05
          16  8.1546095E-05
          17  7.9724909E-05
          18  7.8217090E-05
          19  7.6949051E-05
          20  7.5865290E-05
          21  7.4933501E-05
          22  7.4122618E-05
          23  7.3411560E-05
          24  7.2783798E-05
          25  7.2222465E-05
