           0  1.4377808E-03
           1  8.9354307E-04
           2  5.9432641E-04
           3  4.1784233E-04
           4  3.0740415E-04
           5  2.3636123E-04
           6  1.9060973E-04
           7  1.6118486E-04
           8  1.4182016E-04
           9  1.2869704E-04
          10  1.1950134E-04
          11  1.1288028E-04
          12  1.0802550E-04
          13  1.0441887E-04
          14  1.0169848E-04
          15  9.9627126E-05
          16  9.8031138E-05
          17  9.6770171E-05
          18  9.5754804E-05
          19  9.4933494E-05
          20  9.4255534E-05
          21  9.3687988E-05
          22  9.3203424E-05
          23  9.2781505E-05
          24  9.2414572E-05
          25  9.2091912E-05
