           0  1.4273821E-03
           1  8.8890950E-04
           2  5.9593434E-04
           3  4.2385966E-04
           4  3.1627706E-04
           5  2.4681527E-04
           6  2.0172907E-04
           7  1.7256199E-04
           8  1.5308325E-04
           9  1.3962043E-04
          10  1.3000173E-04
          11  1.2293337E-04
          12  1.1760816E-04
          13  1.1353936E-04
          14  1.1038193E-04
          15  1.0791051E-04
          16  1.0596093E-04
          17  1.0439505E-04
          18  1.0313030E-04
          19  1.0209379E-04
          20  1.0123471E-04
          21  1.0051068E-04
          22  9.9896431E-05
          23  9.9368990E-05
          24  9.8908218E-05
          25  9.8509132E-05
