           0  1.3487719E-03
           1  8.3686557E-04
           2  5.5794104E-04
           3  3.9584201E-04
           4  2.9538281E-04
           5  2.3101075E-04
           6  1.8922670E-04
           7  1.6221093E-04
           8  1.4430174E-04
           9  1.3201803E-04
          10  1.2330397E-04
          11  1.1694668E-04
          12  1.1221427E-04
          13  1.0860921E-04
          14  1.0583778E-04
          15  1.0367746E-04
          16  1.0197228E-04
          17  1.0060606E-04
          18  9.9492492E-05
          19  9.8576791E-05
          20  9.7814263E-05
          21  9.7174488E-05
          22  9.6626238E-05
          23  9.6148724E-05
          24  9.5734467E-05
          25  9.5371710E-05
